component_id,size,min_datetime,max_datetime,center_x,center_y
169,2,2023-07-12 14:00:00,2023-07-12 17:00:00,1983877.901130889,796775.1101735979
170,2,2023-09-16 19:00:00,2023-09-17 18:00:00,1992962.8049610567,797617.8863204005
171,2,2023-07-06 13:30:00,2023-07-06 16:40:00,1994252.1054929674,796331.0622083928
172,2,2023-10-12 14:00:00,2023-10-19 08:20:00,1992269.3534061857,792875.29049134
173,2,2023-06-08 15:00:00,2023-06-11 17:00:00,1999279.5835868253,798162.0793702408
174,2,2023-09-19 12:30:00,2023-09-19 13:00:00,1983210.728295017,807017.1851788405
175,2,2023-10-11 22:16:00,2023-10-12 10:10:00,1988027.2199545586,806326.7679519763
176,2,2024-04-15 04:02:00,2024-04-15 05:00:00,1981755.0064091461,799877.2274875364
177,2,2024-04-04 04:58:00,2024-04-04 08:29:00,1992660.4650251972,787740.7915781257
178,2,2024-05-02 12:13:00,2024-05-02 12:13:00,1980960.0691193137,781339.9056531067
179,2,2024-06-09 12:42:00,2024-06-10 18:53:00,1983322.4105953425,797147.6103209774
180,2,2024-06-04 04:01:00,2024-06-09 02:18:00,1981936.6301247359,799683.4353852476
181,2,2024-05-16 10:05:00,2024-05-19 15:14:00,1983553.996765667,788102.0900313761
182,2,2024-10-24 15:30:00,2024-10-30 16:40:00,1991850.7885077589,794447.9911181927
183,2,2024-10-25 12:00:00,2024-10-30 16:00:00,1983855.7164116153,797509.694081997
184,2,2024-10-30 12:45:00,2024-11-06 12:00:00,1993211.9507194404,795857.077000506
185,2,2024-11-23 19:32:00,2024-11-30 12:45:00,1990174.5750257324,793565.3550638431
186,2,2024-12-15 12:30:00,2024-12-18 15:00:00,1994985.17361002,797415.4282315456
187,2,2024-12-27 14:00:00,2024-12-29 09:00:00,1995023.6098390156,797677.1737119223
188,2,2024-12-17 21:10:00,2024-12-18 19:00:00,1993808.412357537,796837.2980530878
189,2,2024-09-03 11:00:00,2024-09-05 07:00:00,1979934.5423877535,781789.0643575191
190,2,2024-09-14 17:00:00,2024-09-21 15:00:00,1993802.2494907782,794384.334618215
191,2,2024-09-30 07:00:00,2024-10-02 06:40:00,1981950.7520667398,786488.1188905484
192,2,2025-07-30 15:00:00,2025-07-30 22:00:00,1996317.518400909,796437.6535501811
193,2,2025-07-31 17:44:00,2025-08-06 08:00:00,1981006.33718182,786421.3685402346
194,2,2025-08-07 13:00:00,2025-08-12 14:00:00,1983370.8359380239,786726.1213065608
195,2,2025-04-16 17:00:00,2025-04-16 22:45:00,1980907.3963560923,804524.6349622018
196,2,2025-07-30 21:13:00,2025-07-30 21:14:00,1997979.7538215783,796152.1354007835
197,2,2025-03-10 16:30:00,2025-03-11 13:00:00,1989799.6465053926,793623.1114399219
198,2,2025-03-23 05:57:00,2025-03-29 01:55:00,1996208.431561758,799909.1791168934
199,2,2025-05-09 20:00:00,2025-05-10 17:30:00,1990627.5525773186,793894.999160629
200,2,2025-05-28 13:00:00,2025-05-28 17:15:00,1981880.991106024,799757.610529216
201,2,2025-06-05 16:30:00,2025-06-10 16:30:00,1991316.141835778,792836.6754179555
202,2,2025-07-08 12:30:00,2025-07-08 15:30:00,1979500.9742293293,772466.4616201656
203,2,2025-07-15 09:00:00,2025-07-15 09:00:00,1997731.696117768,801055.319741627
204,2,2025-07-09 15:30:00,2025-07-15 14:40:00,1981881.3761015683,787560.1546069426
