Incident_ID,Agency,Offense,Street,City,State,Zipcode,Date_of_Report,Date_of_Occurrence,Date_Found,Reported_As,Premise_Description,Forcible,Weapon_Description,Victim_Age,Victim_Race,Victim_Gender,Latitude,Longitude,ObjectId,geometry
181013,CHPD,B&E    LARCENY F/VEHICLE,504 HIGHGROVE DR,CHAPEL HILL,NC,27516,1587717000000,1587661200000,1587717000000,THEFT/LARCENY,RESIDENCE/HOME,<Null>,<Null>,55,W,F,35.888367,-79.07122,75999,POINT (-79.07122 35.888367)
182057,CHPD,B&E    LARCENY F/VEHICLE,104 ASCOT PL,CHAPEL HILL,NC,27517,1591955340000,1591955340000,1591955340000,THEFT/LARCENY,PARKING/DROP LOT/GARAGE,<Null>,<Null>,41,W,F,35.940064,-79.005124,76016,POINT (-79.005124 35.940064)
182139,CHPD,CREDIT CARD FRAUD,1751 MARTIN LUTHER KING JR BLVD,CHAPEL HILL,NC,27516,1592412300000,1591454700000,1591454760000,PUBLIC SERVICE,RESIDENCE/HOME,<Null>,<Null>,<Null>,B,F,35.92696,-79.05294,76021,POINT (-79.05294 35.92696)
181543,CHPD,B&E    LARCENY F/VEHICLE,431 W FRANKLIN ST,CHAPEL HILL,NC,27516,1589907720000,1589810460000,1589895900000,THEFT/LARCENY,PARKING/DROP LOT/GARAGE,<Null>,NONE,21,W,F,35.909778,-79.062599,76045,POINT (-79.062599 35.909778)
181738,CHPD,B&E    LARCENY F/VEHICLE,200 MELVILLE LOOP,CHAPEL HILL,NC,27514,1590651240000,1590588000000,1590647400000,THEFT/LARCENY,PARKING/DROP LOT/GARAGE,<Null>,<Null>,26,W,M,35.947224,-79.016411,76058,POINT (-79.016411 35.947224)
181895,CHPD,B&E    LARCENY F/VEHICLE,108 W CAMERON AVE,CHAPEL HILL,NC,27516,1591355040000,1591266600000,1591275600000,THEFT/LARCENY,PARKING/DROP LOT/GARAGE,N,NONE,65,B,F,35.91077,-79.055466,76066,POINT (-79.055466 35.91077)
182658,CHPD,B&E    LARCENY F/VEHICLE,607 MARTIN LUTHER KING JR BLVD,CHAPEL HILL,NC,27516,1594463460000,1594418400000,1594461600000,THEFT/LARCENY,RESIDENCE/HOME,N,NONE,21,W,M,35.919014,-79.056755,76068,POINT (-79.056755 35.919014)
181516,CHPD,TAMPERING WITH VEHICLE,1060 NC 54,CHAPEL HILL,NC,27516,1589785740000,1589752800000,1589785200000,DAMAGE/VANDALIS,PARKING/DROP LOT/GARAGE,<Null>,<Null>,45,B,F,35.898712,-79.065117,76072,POINT (-79.065117 35.898712)
182064,CHPD,B&E    LARCENY F/VEHICLE,216 BLUEFIELD RD,CHAPEL HILL,NC,27517,1591973460000,1591887600000,1591949700000,THEFT/LARCENY,HIGHWAY/ROAD/ALLEY/STREET/SIDEWALK,N,<Null>,75,W,M,35.942539,-79.005028,76073,POINT (-79.005028 35.942539)
181401,CHPD,CREDIT CARD FRAUD,102 WEATHERSTONE DR,CHAPEL HILL,NC,27514,1589378520000,1582891200000,1589378520000,FRAUD OR DECEPT,DEPARTMENT DISCOUNT STORE,<Null>,<Null>,44,W,M,35.964664,-79.045879,76074,POINT (-79.045879 35.964664)
182303,CHPD,UNAUTHORIZED USE OF MOTOR VEHICLE,400 CREST DR,CHAPEL HILL,NC,27516,1593024720000,1590693600000,1590757200000,THEFT/LARCENY,RESIDENCE/HOME,N,<Null>,21,B,F,35.904598,-79.066162,76077,POINT (-79.066162 35.904598)
182273,CHPD,VEHICLE LEFT IN ROADWAY,2215 DALEY RD,CHAPEL HILL,NC,27514,1592922420000,1592920800000,1592922420000,PUBLIC SERVICE,HIGHWAY/ROAD/ALLEY/STREET/SIDEWALK,<Null>,NONE,<Null>,<Null>,<Null>,35.944989,-79.025686,76078,POINT (-79.025686 35.944989)
182258,CHPD,B&E    LARCENY F/VEHICLE,102 PINEGATE CIR,CHAPEL HILL,NC,27514,1592898000000,1592848800000,1592898000000,THEFT/LARCENY,PARKING/DROP LOT/GARAGE,Y,<Null>,30,W,F,35.948257,-79.008797,76094,POINT (-79.008797 35.948257)
182001,CHPD,B&E VEHICLE,1749 DOBBINS DR,CHAPEL HILL,NC,27514,1591811700000,1591462800000,1591811700000,THEFT/LARCENY,HIGHWAY/ROAD/ALLEY/STREET/SIDEWALK,N,<Null>,26,U,M,35.945137,-79.015472,76097,POINT (-79.015472 35.945137)
182046,CHPD,B&E    LARCENY F/VEHICLE,112 BLUEFIELD RD,CHAPEL HILL,NC,27517,1591949820000,1591949820000,1591949820000,THEFT/LARCENY,PARKING/DROP LOT/GARAGE,<Null>,<Null>,<Null>,<Null>,<Null>,35.94292,-79.003781,76119,POINT (-79.003781 35.94292)
181792,CHPD,SUSPICIOUS VEHICLE,1415 E FRANKLIN ST/S ESTES DR,CHAPEL HILL,NC,27514,1590854700000,1590849600000,1590850800000,PUBLIC SERVICE,HIGHWAY/ROAD/ALLEY/STREET/SIDEWALK,N,<Null>,<Null>,W,F,35.931423,-79.041336,76130,POINT (-79.041336 35.931423)
182067,CHPD,K-9 VEHICLE SNIFF,1701 MARTIN LUTHER KING JR BLVD,CHAPEL HILL,NC,27516,1591996260000,1591996260000,1591996260000,TRAFFIC STOP,HIGHWAY/ROAD/ALLEY/STREET/SIDEWALK,<Null>,NONE,<Null>,<Null>,<Null>,35.962053,-79.058065,76140,POINT (-79.058065 35.962053)
181676,CHPD,STOLEN VEHICLE RECOVERED,ESTES DR/MARTIN LUTHER KING JR BLVD,CHAPEL HILL,NC,27516,1590385680000,1590345900000,1590385680000,MISC OFFICER IN,HIGHWAY/ROAD/ALLEY/STREET/SIDEWALK,<Null>,<Null>,48,W,F,35.935225,-79.056077,76146,POINT (-79.056077 35.935225)
181611,CHPD,B&E    LARCENY F/VEHICLE,332 W ROSEMARY ST,CHAPEL HILL,NC,27516,1590162720000,1589904000000,1590157800000,BURGLARY/HOME I,PARKING/DROP LOT/GARAGE,<Null>,NONE,20,B,F,35.912102,-79.061483,76163,POINT (-79.061483 35.912102)
182424,CHPD,B&E    LARCENY F/VEHICLE,101 PALAFOX DR,CHAPEL HILL,NC,27516,1593531600000,1593415800000,1593505800000,THEFT/LARCENY,RESIDENCE/HOME,N,<Null>,62,A,M,35.963554,-79.064308,76172,POINT (-79.064308 35.963554)
182185,CHPD,B&E    LARCENY F/VEHICLE,1 SHEPHERD LN,CHAPEL HILL,NC,27514,1592570460000,1592499600000,1592570400000,THEFT/LARCENY,PARKING/DROP LOT/GARAGE,<Null>,<Null>,21,W,M,35.924942,-79.031906,76199,POINT (-79.031906 35.924942)
182231,CHPD,B&E    LARCENY F/VEHICLE,1105 NC 54,CHAPEL HILL,NC,27514,1592748300000,1592665200000,1592737200000,THEFT/LARCENY,PARKING/DROP LOT/GARAGE,<Null>,<Null>,24,W,F,35.898182,-79.06739,76206,POINT (-79.06739 35.898182)
181863,CHPD,B&E    LARCENY F/VEHICLE,1105 NC 54,CHAPEL HILL,NC,27514,1591196220000,1591192800000,1591196160000,THEFT/LARCENY,HIGHWAY/ROAD/ALLEY/STREET/SIDEWALK,N,NONE,19,W,F,35.898037,-79.067749,76213,POINT (-79.067749 35.898037)
181685,CHPD,B&E    LARCENY F/VEHICLE,1064 NC 54,CHAPEL HILL,NC,27516,1590439500000,1590438900000,1590439500000,THEFT/LARCENY,HIGHWAY/ROAD/ALLEY/STREET/SIDEWALK,N,NONE,40,W,F,35.896442,-79.064827,76227,POINT (-79.064827 35.896442)
181736,CHPD,B&E    LARCENY F/VEHICLE,110 MELVILLE LOOP,CHAPEL HILL,NC,27514,1590646560000,1590606000000,1590646500000,THEFT/LARCENY,PARKING/DROP LOT/GARAGE,N,<Null>,48,B,M,35.948002,-79.017494,76233,POINT (-79.017494 35.948002)
182072,CHPD,ABANDONED VEHICLE,399 MT CARMEL CHURCH RD/BENNETT RD,CHAPEL HILL,NC,27517,1592040480000,1592024400000,1592040480000,MISC OFFICER IN,HIGHWAY/ROAD/ALLEY/STREET/SIDEWALK,<Null>,NONE,<Null>,<Null>,<Null>,35.886652,-79.057142,76269,POINT (-79.057142 35.886652)
181609,CHPD,DAMAGE TO VEHICLE,420 THORNWOOD RD,CHAPEL HILL,NC,27517,1590159000000,1589986200000,1590148800000,MISC OFFICER IN,OTHER/UNKNOWN,<Null>,NONE,<Null>,<Null>,<Null>,35.93412,-79.010324,76281,POINT (-79.010324 35.93412)
182049,CHPD,B&E    LARCENY F/VEHICLE,1330 EPHESUS CHURCH RD,CHAPEL HILL,NC,27517,1591949100000,1591902000000,1591949100000,THEFT/LARCENY,PARKING/DROP LOT/GARAGE,N,<Null>,34,B,F,35.933426,-79.019005,76294,POINT (-79.019005 35.933426)
181925,CHPD,B&E VEHICLE,1751 MARTIN LUTHER KING JR BLVD,CHAPEL HILL,NC,27516,1591461600000,1588445400000,1591461600000,BURGLARY/HOME I,HIGHWAY/ROAD/ALLEY/STREET/SIDEWALK,N,<Null>,36,W,M,35.963127,-79.05893,76318,POINT (-79.05893 35.963127)
182054,CHPD,B&E    LARCENY F/VEHICLE,106 ASCOT PL,CHAPEL HILL,NC,27517,1591952820000,1591952820000,1591952820000,THEFT/LARCENY,PARKING/DROP LOT/GARAGE,<Null>,<Null>,27,B,M,35.940281,-79.004982,76333,POINT (-79.004982 35.940281)
182492,CHPD,B&E    LARCENY F/VEHICLE,203 BARKSDALE DR,CHAPEL HILL,NC,27516,1593790200000,1593729000000,1593788400000,THEFT/LARCENY,HIGHWAY/ROAD/ALLEY/STREET/SIDEWALK,N,<Null>,26,W,M,35.881935,-79.062943,76354,POINT (-79.062943 35.881935)
182069,CHPD,VEHICLE LOCKOUT,201 E FRANKLIN ST,CHAPEL HILL,NC,27514,1591998240000,1591998240000,1591998240000,PUBLIC SERVICE,HIGHWAY/ROAD/ALLEY/STREET/SIDEWALK,Y,NONE,41,B,M,35.914635,-79.052887,76374,POINT (-79.052887 35.914635)
182505,CHPD,ASSIST CARRBORO PD,1105 NC 54,CHAPEL HILL,NC,27514,1593836820000,1593836760000,1593836820000,TRAFFIC STOP,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,35.897976,-79.067737,76417,POINT (-79.067737 35.897976)
